Name of the painting,Style,Year,Period,Fractal dimension,Entropy,Birkhoff measure,Euclidean distance
Seated Woman in a Red Armchair,Surrealism,1931,Neoclassicist & Surrealist Period,1.5713,7.4469,259.0872,345.8828
Seated woman in garden,"Cubism, Surrealism",1938,Neoclassicist & Surrealist Period,1.8031,7.7684,198.8602,537.2464
Seated woman on wooden chair,Surrealism,1941,Neoclassicist & Surrealist Period,1.7129,7.7341,301.8566,398.8053
Seated woman with blue and red hat,Surrealism,1939,Neoclassicist & Surrealist Period,1.8910,7.7211,147.5783,605.7002
Seated Woman with Fish,Surrealism,1942,Neoclassicist & Surrealist Period,1.8215,7.5942,102.5515,614.6703
Seated woman with flat hat,Surrealism,1945,Neoclassicist & Surrealist Period,1.6678,7.4107,235.4461,305.3976
Seated woman with her arms folded (Sarah Murphy),Neoclassicism,1923,Neoclassicist & Surrealist Period,1.9278,7.1007,266.1897,545.4258
Seated woman with spelling book,"Cubism, Surrealism",1941,Neoclassicist & Surrealist Period,1.9351,7.1028,198.2708,684.3735
Seated woman_10,Surrealism,1941,Neoclassicist & Surrealist Period,1.6641,7.1534,60.9193,154.6180
Seated woman_3,Neoclassicism,1920,Neoclassicist & Surrealist Period,1.6557,7.6573,73.8444,320.7708
Seated woman_4,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.7169,7.4393,103.0665,426.8547
Seated woman_5,Neoclassicism,1923,Neoclassicist & Surrealist Period,1.9223,7.4188,116.7494,765.1751
Seated woman_6,Neoclassicism,1923,Neoclassicist & Surrealist Period,1.8879,7.6973,371.8631,643.9095
Seated woman_7,Cubism,1927,Neoclassicist & Surrealist Period,1.7383,7.6543,61.4195,487.8438
Seated Woman_8,Cubism,1930,Neoclassicist & Surrealist Period,1.7613,7.8305,222.3157,518.5038
Seated woman_9,"Cubism, Surrealism",1939,Neoclassicist & Surrealist Period,1.7848,7.7591,356.4785,450.9273
Silenus dancing in company,"Naïve Art (Primitivism), Surrealism",1933,Neoclassicist & Surrealist Period,1.8383,7.3605,129.4813,565.1743
Skull and leeks,Cubism,1945,Neoclassicist & Surrealist Period,1.7439,7.7319,119.4698,360.4434
"Skull, urchins and lamp on a table",Cubism,1943,Neoclassicist & Surrealist Period,1.7691,7.8456,97.4759,521.2088
Sleep,Surrealism,1932,Neoclassicist & Surrealist Period,1.8320,6.9524,11.7746,678.7411
Sleeper near the shutters,Surrealism,1936,Neoclassicist & Surrealist Period,1.8618,7.7284,193.9867,466.3922
Square du Vert-Galant,Cubism,1943,Neoclassicist & Surrealist Period,1.7177,7.6512,222.6215,308.4066
Standing female nude_2,Neoclassicism,1923,Neoclassicist & Surrealist Period,1.9478,7.0525,275.6920,557.9991
Standing nude_1,Neoclassicism,1920,Neoclassicist & Surrealist Period,1.7109,7.3242,140.0103,537.5204
Standing woman,"Cubism, Naïve Art (Primitivism)",1946,Neoclassicist & Surrealist Period,1.8937,7.5982,104.1912,510.9392
Still life on a table,"Cubism, Surrealism",1947,Neoclassicist & Surrealist Period,1.7982,7.6652,147.6691,495.6448
"Still life with a bull's head, book and candle range",Surrealism,1938,Neoclassicist & Surrealist Period,1.6859,7.5483,167.4763,367.7833
Still life with antique bust,"Cubism, Surrealism",1925,Neoclassicist & Surrealist Period,1.6597,6.4760,33.7096,396.6757
Still life with bull's skull,Cubism,1939,Neoclassicist & Surrealist Period,1.7201,7.7109,125.1371,396.8105
Still life with candle,Surrealism,1937,Neoclassicist & Surrealist Period,1.7131,7.3623,75.7943,188.5834
Still life with candlestick,Surrealism,1937,Neoclassicist & Surrealist Period,1.6571,6.8421,152.6074,360.8784
Still life with fishing net,Surrealism,1925,Neoclassicist & Surrealist Period,1.7756,7.6982,278.8062,458.4138
Still life with Guitar_1,Cubism,1942,Neoclassicist & Surrealist Period,1.7572,7.7994,196.4078,467.9545
Still life with jug and bread,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.7345,7.5643,196.3683,518.0433
Still life with lamp,Surrealism,1944,Neoclassicist & Surrealist Period,1.8530,7.8235,211.4739,618.8634
Still life with lemon and jug,Surrealism,1936,Neoclassicist & Surrealist Period,1.8507,6.2926,25.8496,585.2598
Still life with lemon and oranges,Cubism,1936,Neoclassicist & Surrealist Period,1.7705,7.5596,64.2708,399.8376
Still life with skull of ox,"Cubism, Surrealism",1942,Neoclassicist & Surrealist Period,1.4220,6.9417,102.3001,247.1923
Still life with skull on an armchair,"Cubism, Surrealism",1946,Neoclassicist & Surrealist Period,1.9483,7.3631,138.9256,632.4930
Still life with stone,Academicism,1924,Neoclassicist & Surrealist Period,1.6876,7.6727,91.8819,313.6970
Still life with the mandolin,Cubism,1924,Neoclassicist & Surrealist Period,1.8258,7.5494,91.1047,441.2536
"Still life, school of Paris","Cubism, Surrealism",1936,Neoclassicist & Surrealist Period,1.7614,6.8931,27.6904,237.4226
Still life_2,Synthetic Cubism,1921,Neoclassicist & Surrealist Period,1.6920,7.2378,52.9657,291.0931
Still life_3,Cubism,1922,Neoclassicist & Surrealist Period,1.5238,6.5380,72.5715,146.2498
Still life_4,Surrealism,1931,Neoclassicist & Surrealist Period,1.7847,7.6006,91.8323,367.1877
Still life_5,Surrealism,1947,Neoclassicist & Surrealist Period,1.8228,7.8819,154.3328,602.2754
Studio,"Neoclassicism, Surrealism",1920,Neoclassicist & Surrealist Period,1.7643,7.5173,195.6983,371.3849
Studio_1,"Cubism, Surrealism",1927,Neoclassicist & Surrealist Period,1.8604,7.4011,47.4872,557.6649
Study of Cannes,Surrealism,1927,Neoclassicist & Surrealist Period,1.8747,7.0830,63.7083,294.5226
The Abduction,Neoclassicism,1920,Neoclassicist & Surrealist Period,1.8301,6.8692,21.5712,288.8057
The Buffet 'Catalan',Surrealism,1943,Neoclassicist & Surrealist Period,1.5483,7.0620,57.9705,135.7715
The buffet of 'Catalan',Surrealism,1943,Neoclassicist & Surrealist Period,1.6151,7.2389,117.1342,348.8455
The dance,Surrealism,1925,Neoclassicist & Surrealist Period,1.6415,7.5560,135.1424,346.6284
The fighters,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.8802,6.3048,44.6391,272.6261
The Imploring,Surrealism,1937,Neoclassicist & Surrealist Period,1.7270,7.6092,210.4774,451.3619
The Kiss,Surrealism,1925,Neoclassicist & Surrealist Period,1.7514,7.5764,147.3800,474.8693
The kitchen,Surrealism,1948,Neoclassicist & Surrealist Period,1.8115,7.7498,212.6549,350.6922
The kitchen_1,Surrealism,1948,Neoclassicist & Surrealist Period,1.8587,7.3402,90.6238,646.4555
The mass grave,Surrealism,1945,Neoclassicist & Surrealist Period,1.8235,7.6135,117.8785,674.5078
The mirror,Surrealism,1932,Neoclassicist & Surrealist Period,1.7633,7.5081,110.6548,509.4887
The Remains of Minotaur in a harlequin costume,"Neoclassicism, Surrealism",1936,Neoclassicist & Surrealist Period,1.8373,7.7297,170.6431,589.1707
The rescue,Surrealism,1932,Neoclassicist & Surrealist Period,1.8116,7.6791,457.1523,455.7460
The sailor,Surrealism,1938,Neoclassicist & Surrealist Period,1.7898,7.6347,94.3782,526.7134
The Sculptor and His Statue,Neoclassicism,1933,Neoclassicist & Surrealist Period,1.6880,7.6335,105.3713,454.7403
The sculptor,Surrealism,1931,Neoclassicist & Surrealist Period,1.8391,7.6397,119.4065,676.1323
The sculpture,"Cubism, Surrealism",1925,Neoclassicist & Surrealist Period,1.8068,7.5205,47.0305,585.7216
The serenade,Surrealism,1942,Neoclassicist & Surrealist Period,1.5095,6.6980,96.3686,249.4566
The straw hat with blue leaves,Surrealism,1936,Neoclassicist & Surrealist Period,1.7277,7.3785,59.7912,376.8761
The Studio,Surrealism,1928,Neoclassicist & Surrealist Period,1.8697,5.9745,24.1487,836.7908
The Swimmer,Surrealism,1929,Neoclassicist & Surrealist Period,1.8906,6.7224,276.1887,647.6422
The yellow shirt (Dora Maar),Surrealism,1939,Neoclassicist & Surrealist Period,1.7919,7.7158,122.2080,522.4497
Three women at a fountain (study),Neoclassicism,1921,Neoclassicist & Surrealist Period,1.8705,7.7916,68.5919,563.9929
Three women at a fountain (study)_1,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.6460,7.3221,185.5349,296.4135
Three women at a fountain (study)_2,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.8686,7.8024,143.2989,485.3464
Three women at a fountain (study)_3,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.8106,7.2503,326.3004,360.9951
Three women at a fountain,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.5148,6.8680,172.6009,239.6751
Three women at a fountain_1,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.7677,7.3341,227.2706,229.9294
Three women at a fountain_2,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.8455,7.7693,309.4713,478.2622
Tomato plant,Surrealism,1944,Neoclassicist & Surrealist Period,1.7997,7.8246,226.3312,571.8622
Two bathers,"Neoclassicism, Surrealism",1920,Neoclassicist & Surrealist Period,1.6510,7.5720,143.7070,382.3947
Two bathers_1,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.9067,6.2629,168.7939,883.3016
Two dressed models,Neoclassicism,1933,Neoclassicist & Surrealist Period,1.8666,5.6479,148.1399,834.5261
Two figures_1,Surrealism,1934,Neoclassicist & Surrealist Period,1.7205,7.1278,115.0742,469.6514
Two naked women on the beach,Surrealism,1937,Neoclassicist & Surrealist Period,1.6764,7.3780,210.3889,252.2474
Two nude women_3,Neoclassicism,1920,Neoclassicist & Surrealist Period,1.9383,6.2663,33.0156,467.4962
Two nude women_4,Neoclassicism,1920,Neoclassicist & Surrealist Period,1.7609,7.4695,131.9526,318.2138
Two nude women_5,Surrealism,1946,Neoclassicist & Surrealist Period,1.8513,7.4063,87.8544,428.9978
Two Women Running on the Beach (The Race),Neoclassicism,1922,Neoclassicist & Surrealist Period,1.6715,7.6630,133.2624,523.8853
Ulysses and sirens,Surrealism,1946,Neoclassicist & Surrealist Period,1.8592,7.4824,173.7298,673.3821
Untitled_10,Surrealism,1936,Neoclassicist & Surrealist Period,1.9580,4.8076,55.2578,868.0923
Untitled_11,Surrealism,1936,Neoclassicist & Surrealist Period,1.9539,5.9115,59.8848,815.1776
Untitled_12,Surrealism,1936,Neoclassicist & Surrealist Period,1.9527,6.5358,104.9787,773.5829
Untitled_13,Expressionism,1936,Neoclassicist & Surrealist Period,1.8242,7.5171,114.1855,399.9388
Untitled_14,"Neoclassicism, Surrealism",1936,Neoclassicist & Surrealist Period,1.9348,7.1362,317.5333,541.1867
Untitled_15,Surrealism,1936,Neoclassicist & Surrealist Period,1.8592,7.6362,173.6364,476.8097
Untitled_16,"Cubism, Surrealism",1937,Neoclassicist & Surrealist Period,1.8152,7.6606,202.1447,385.9831
Untitled_17,Surrealism,1937,Neoclassicist & Surrealist Period,1.7008,6.8032,166.8821,307.2344
Untitled_18,Naïve Art (Primitivism),1937,Neoclassicist & Surrealist Period,1.8343,7.7203,261.4664,395.9341
Untitled_19,Expressionism,1937,Neoclassicist & Surrealist Period,1.8331,7.7133,270.2786,413.6157
Untitled_2,Cubism,1920,Neoclassicist & Surrealist Period,1.8166,7.3272,36.6216,430.0731
Untitled_20,Expressionism,1937,Neoclassicist & Surrealist Period,1.8780,7.6336,175.7834,431.9384
Untitled_21,Surrealism,1937,Neoclassicist & Surrealist Period,1.8518,7.4510,196.2870,406.0813
Untitled_22,Surrealism,1937,Neoclassicist & Surrealist Period,1.8221,7.7028,136.0026,468.7641
Untitled_23,Surrealism,1937,Neoclassicist & Surrealist Period,1.7639,7.3096,147.9700,349.6637
Untitled_24,Surrealism,1937,Neoclassicist & Surrealist Period,1.8703,7.7893,211.6929,530.8350
Untitled_25,Surrealism,1937,Neoclassicist & Surrealist Period,1.8879,7.5743,93.0865,518.7870
Untitled_26,Surrealism,1937,Neoclassicist & Surrealist Period,1.8823,7.3334,89.6261,467.9829
Untitled_27,"Neoclassicism, Surrealism",1938,Neoclassicist & Surrealist Period,1.9505,6.6792,90.5510,731.6925
Untitled_28,"Neoclassicism, Surrealism",1938,Neoclassicist & Surrealist Period,1.9466,6.8527,106.6099,702.7699
Untitled_29,Naïve Art (Primitivism),1938,Neoclassicist & Surrealist Period,1.8256,7.5143,72.3086,487.4909
Untitled_3,Cubism,1920,Neoclassicist & Surrealist Period,1.8229,7.6054,51.7834,508.9333
Untitled_30,Surrealism,1938,Neoclassicist & Surrealist Period,1.6963,7.5046,141.2080,369.6910
Untitled_31,Surrealism,1938,Neoclassicist & Surrealist Period,1.9386,7.3304,210.1129,593.9027
Untitled_32,"Cubism, Surrealism",1939,Neoclassicist & Surrealist Period,1.8384,7.7421,356.8206,432.1262
Untitled_33,Naïve Art (Primitivism),1939,Neoclassicist & Surrealist Period,1.8772,7.6140,128.9647,486.6024
Untitled_34,"Naïve Art (Primitivism), Surrealism",1939,Neoclassicist & Surrealist Period,1.8557,7.6804,257.6510,480.6918
Untitled_35,Expressionism,1939,Neoclassicist & Surrealist Period,1.7594,7.3897,171.7900,342.0021
Untitled_36,Surrealism,1939,Neoclassicist & Surrealist Period,1.7389,7.5313,256.9704,391.9130
Untitled_37,Expressionism,1939,Neoclassicist & Surrealist Period,1.7956,7.6603,264.7641,352.6184
Untitled_38,Surrealism,1939,Neoclassicist & Surrealist Period,1.8224,7.7362,137.8885,416.8159
Untitled_39,Surrealism,1939,Neoclassicist & Surrealist Period,1.9392,6.8604,36.6918,708.9091
Untitled_4,Cubism,1920,Neoclassicist & Surrealist Period,1.9157,7.3894,112.2249,601.4573
Untitled_40,Surrealism,1939,Neoclassicist & Surrealist Period,1.7775,7.5712,356.3750,367.0240
Untitled_5,Surrealism,1929,Neoclassicist & Surrealist Period,1.7536,7.3443,151.3657,474.8195
Untitled_6,Surrealism,1936,Neoclassicist & Surrealist Period,1.8243,7.5396,145.5748,413.7045
Untitled_7,Surrealism,1936,Neoclassicist & Surrealist Period,1.8631,7.6172,136.7296,462.7470
Untitled_8,Surrealism,1936,Neoclassicist & Surrealist Period,1.6971,7.2642,139.9393,367.0630
Untitled_9,Surrealism,1936,Neoclassicist & Surrealist Period,1.7897,7.7197,177.8935,419.4541
Vase with flowers,Cubism,1943,Neoclassicist & Surrealist Period,1.6586,7.5117,240.1792,339.3377
Vase with flowers_1,Surrealism,1943,Neoclassicist & Surrealist Period,1.6156,7.0824,48.7532,157.3709
Weeping Woman,Surrealism,1937,Neoclassicist & Surrealist Period,1.7678,7.7033,183.0304,466.6424
Window opened to the street Penthieure,Cubism,1920,Neoclassicist & Surrealist Period,1.7802,7.5857,130.9085,486.0546
Woman by the dresser,Surrealism,1936,Neoclassicist & Surrealist Period,1.7666,7.8305,161.8973,493.3431
Woman by the dresser_1,Surrealism,1936,Neoclassicist & Surrealist Period,1.9272,7.4148,82.6771,586.1625
Woman by the window,Surrealism,1936,Neoclassicist & Surrealist Period,1.8321,7.6465,200.3247,452.2138
Woman in an armchair,"Cubism, Surrealism",1941,Neoclassicist & Surrealist Period,1.8083,7.4936,98.8846,567.6628
Woman in beret and checked dress,Surrealism,1937,Neoclassicist & Surrealist Period,1.6336,7.2155,198.3726,336.7370
Woman in green,Surrealism,1944,Neoclassicist & Surrealist Period,1.6555,7.4630,98.9090,216.5943
Woman in red armchair,Surrealism,1932,Neoclassicist & Surrealist Period,1.6300,7.2755,135.1681,367.3852
Woman in striped armchair,Surrealism,1941,Neoclassicist & Surrealist Period,1.7582,7.6897,171.8693,461.8294
Woman in the Garden,Surrealism,1929,Neoclassicist & Surrealist Period,1.8186,7.5024,29.7238,213.2702
Woman in the interior,Surrealism,1936,Neoclassicist & Surrealist Period,1.9194,7.3447,113.9660,589.9944
Woman in white,Neoclassicism,1923,Neoclassicist & Surrealist Period,1.8775,6.9859,398.8244,554.9850
Woman on the beach,Surrealism,1932,Neoclassicist & Surrealist Period,1.7505,7.6505,183.1641,443.0535
Woman reading (Olga),Neoclassicism,1920,Neoclassicist & Surrealist Period,1.8630,7.1805,85.1602,556.1610
Woman reading (Olga)_1,Neoclassicism,1920,Neoclassicist & Surrealist Period,1.5933,7.5156,128.9867,342.7268
Woman reading,Surrealism,1935,Neoclassicist & Surrealist Period,1.6060,7.2462,133.9762,320.8768
Woman sitting in an armchair_1,"Cubism, Surrealism",1920,Neoclassicist & Surrealist Period,1.7389,7.7853,101.4812,443.1386
Woman sitting in an armchair_2,"Cubism, Surrealism",1938,Neoclassicist & Surrealist Period,1.8932,7.6632,136.9552,568.2477
Woman sitting in an armchair_3,Surrealism,1939,Neoclassicist & Surrealist Period,1.8211,7.8601,151.4559,593.3370
Woman sitting in an armchair_4,Surrealism,1941,Neoclassicist & Surrealist Period,1.7466,7.8006,217.4957,458.7406
Woman sitting in an armchair_5,Surrealism,1941,Neoclassicist & Surrealist Period,1.7484,7.6558,143.2367,465.4132
Woman sitting in an armchair_6,Surrealism,1941,Neoclassicist & Surrealist Period,1.7980,7.7860,78.2366,240.7525
Woman sitting in an armchair_7,Surrealism,1948,Neoclassicist & Surrealist Period,1.4341,6.7637,120.7101,261.6627
Woman sitting in an armchair_8,Surrealism,1949,Neoclassicist & Surrealist Period,1.8548,7.5602,142.2000,506.1121
Woman sitting in red armchair,Surrealism,1939,Neoclassicist & Surrealist Period,1.9274,7.5992,203.4068,586.3058
Woman styling her hair,Surrealism,1940,Neoclassicist & Surrealist Period,1.6186,7.0067,57.2592,400.6839
Woman turned right,Surrealism,1934,Neoclassicist & Surrealist Period,1.6935,7.7231,188.6000,397.9921
Woman washing her feet,Surrealism,1944,Neoclassicist & Surrealist Period,1.8398,7.5954,240.4194,536.9763
Woman with book,Surrealism,1932,Neoclassicist & Surrealist Period,1.6888,7.3832,130.6596,422.3390
Woman with bouquet,Surrealism,1936,Neoclassicist & Surrealist Period,1.8561,7.5547,201.4275,616.9818
Woman with brooch,Expressionism,1944,Neoclassicist & Surrealist Period,1.7342,7.1619,89.2780,359.4027
Woman with cap_1,Surrealism,1934,Neoclassicist & Surrealist Period,1.7095,7.6696,150.4783,410.6304
Woman with child on the seashore,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.7643,7.2293,235.0743,674.2095
Woman with cockerel,Surrealism,1938,Neoclassicist & Surrealist Period,1.8289,7.5737,122.7923,686.3349
Woman with flower,Surrealism,1932,Neoclassicist & Surrealist Period,1.8098,7.6131,148.6857,462.6769
Woman with hat (Olga),Surrealism,1935,Neoclassicist & Surrealist Period,1.8770,6.9755,73.8641,515.8879
Woman with hat_1,Expressionism,1943,Neoclassicist & Surrealist Period,1.6306,7.4764,160.8351,369.1036
Woman with mandolin_1,Cubism,1925,Neoclassicist & Surrealist Period,1.7625,7.5194,48.3350,519.9372
Woman with red hat,Surrealism,1934,Neoclassicist & Surrealist Period,1.8230,7.4108,78.9785,419.8361
Woman with straw hat on flowery background,Surrealism,1938,Neoclassicist & Surrealist Period,1.8429,7.4701,252.2808,526.3935
Woman with yellow hair,Surrealism,1931,Neoclassicist & Surrealist Period,1.8141,7.4008,43.8407,664.7076
Woman writing,Surrealism,1934,Neoclassicist & Surrealist Period,1.6396,7.1519,187.0972,330.4075
Woman's head and hand,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.7375,7.3457,46.2806,387.5595
Woman's head,Surrealism,1939,Neoclassicist & Surrealist Period,1.5810,6.9223,120.7494,303.9532
Woman’s Head,Surrealism,1939,Neoclassicist & Surrealist Period,1.6854,7.5610,39.4525,346.2185
Women at their toilette,Surrealism,1938,Neoclassicist & Surrealist Period,1.8115,7.6009,116.8278,528.2664
Working painter observed by a nude model,Neoclassicism,1928,Neoclassicist & Surrealist Period,1.8938,5.6505,68.0921,526.8823
Wounded bird,Cubism,1921,Neoclassicist & Surrealist Period,1.7827,7.5485,124.7469,404.3396
Young girl throwing a rock,Surrealism,1931,Neoclassicist & Surrealist Period,1.7856,7.8752,139.1453,538.7450
Young Tormented Girl,"Cubism, Surrealism",1939,Neoclassicist & Surrealist Period,1.8157,7.0914,56.6800,368.0632
A bank of canal,Naïve Art (Primitivism),1905,Rose Period,1.9101,6.5493,53.8725,473.0892
A boat on the canal,Post-Impressionism,1905,Rose Period,1.9054,5.5837,42.0255,479.8239
A boy with pipe,Post-Impressionism,1905,Rose Period,1.8907,7.4737,2454.9348,865.1488
A horsewoman,Naïve Art (Primitivism),1905,Rose Period,1.9391,6.3769,565.1939,481.0868
Acrobat and young harlequin,Post-Impressionism,1905,Rose Period,1.7040,7.3776,74.8977,420.2068
An actor,Expressionism,1904,Rose Period,1.7417,7.5982,327.8598,315.6305
At Lapin Agile (Harlequin with Glass),Post-Impressionism,1905,Rose Period,1.5936,7.5049,304.5421,379.7137
Bed with mosquito nets,Post-Impressionism,1906,Rose Period,1.8124,7.4875,143.3731,381.2929
Boy leading a horse,Expressionism,1906,Rose Period,1.8720,7.6543,965.6803,1027.1926
Boy with bouquet of flowers in his hand,Post-Impressionism,1905,Rose Period,1.8698,7.0840,145.7956,481.6562
Bust of woman_1,Expressionism,1906,Rose Period,1.5798,7.3266,41.5713,154.3221
Composition  Peasants,"Cubism, Post-Impressionism",1906,Rose Period,1.6222,7.2019,171.6608,366.3429
Dutch girl,Realism,1905,Rose Period,1.8209,7.4196,762.8441,816.2117
Dutch landscape with windmills,Post-Impressionism,1905,Rose Period,1.8305,6.9307,35.8872,341.6655
Dutchwoman beside the canal,Naïve Art (Primitivism),1905,Rose Period,1.8759,6.0323,42.3258,563.0927
El Tinen,Expressionism,1906,Rose Period,1.8323,7.4997,130.6761,435.0119
Family of acrobats (Jugglers),Expressionism,1905,Rose Period,1.9237,7.7683,1040.0960,1086.6366
Family of acrobats (study),Expressionism,1905,Rose Period,1.8911,7.6563,627.0638,900.2416
Family of Acrobats with Monkey,Expressionism,1905,Rose Period,1.8786,7.5830,1218.9145,1044.2493
Family of acrobats,Post-Impressionism,1905,Rose Period,1.9073,6.5101,88.8715,628.3846
Family of jugglers,Expressionism,1905,Rose Period,1.9345,7.7989,1546.2583,1009.9051
Fernande with shawl,Expressionism,1906,Rose Period,1.8601,7.1236,140.8729,448.4803
Fernande's Head,Expressionism,1906,Rose Period,1.8142,7.1747,132.4448,490.6152
Girl and goat,Expressionism,1906,Rose Period,1.8682,7.3708,332.6041,922.7934
Girl on the ball,"Expressionism, Symbolism",1905,Rose Period,1.8614,7.8447,720.4724,1097.4474
Hairdressing,Expressionism,1906,Rose Period,1.8732,7.7027,540.4077,1124.7235
Harlequin on the horseback,Post-Impressionism,1905,Rose Period,1.8224,7.4395,299.3788,457.0954
Harlequin's death,"Expressionism, Symbolism",1906,Rose Period,1.9137,7.3939,1136.3793,909.4666
Harlequin's family,Expressionism,1905,Rose Period,1.8346,7.3251,319.0039,516.5413
Harlequin's family_1,Expressionism,1905,Rose Period,1.7249,7.4825,73.7886,221.1456
Harlequin's Head,Post-Impressionism,1905,Rose Period,1.6169,6.9045,68.4333,312.4473
Head of hurdy-gurdy,Expressionism,1905,Rose Period,1.8262,6.9066,49.4023,493.3130
Head of young man,Expressionism,1905,Rose Period,1.7447,6.8264,198.7639,296.1840
Head of young man_1,Expressionism,1906,Rose Period,1.8862,6.9379,138.6299,493.0445
Hurdy-gurdy,Symbolism,1905,Rose Period,1.9069,7.5276,1059.6374,1288.7749
Lovers,Expressionism,1904,Rose Period,1.8953,7.6626,963.5429,879.5074
Madame Soler,Expressionism,1905,Rose Period,1.6221,7.2188,122.5736,316.4300
Madeleine,Post-Impressionism,1904,Rose Period,1.8901,6.5116,206.5975,537.9825
Mallorcan,Expressionism,1905,Rose Period,1.8847,6.8044,208.8677,433.5223
Mother and child (Baladins),Post-Impressionism,1905,Rose Period,1.7689,7.5295,583.4542,426.9370
Mother and child (study),Post-Impressionism,1904,Rose Period,1.8506,7.5795,426.0183,545.3770
Mother and Child_1,Post-Impressionism,1905,Rose Period,1.8766,6.6555,110.3272,693.7833
Nude woman naked face and nude woman profile,Post-Impressionism,1906,Rose Period,1.7384,7.2637,378.9301,413.6568
Nude Youth,Post-Impressionism,1906,Rose Period,1.8442,6.9678,218.3208,392.7503
"Nude, study to Harem",Post-Impressionism,1906,Rose Period,1.9326,5.9930,349.9459,464.1158
Nudes interlaces,Post-Impressionism,1905,Rose Period,1.8963,7.0750,118.1301,582.2555
Peasants,Symbolism,1906,Rose Period,1.8848,6.9610,171.0647,538.9090
Portrait of Allan Stein,Post-Impressionism,1906,Rose Period,1.6837,6.8913,495.1122,310.5273
Portrait of Fernande Olivier in headscarves,Post-Impressionism,1906,Rose Period,1.8702,6.7427,169.7357,693.9217
Portrait of Gertrude Stein,Expressionism,1906,Rose Period,1.6956,7.2561,1388.1600,652.9205
Portrait of Madame Canals,Post-Impressionism,1905,Rose Period,1.8214,7.7391,226.2545,499.4415
Portrait of nude Casagemas,Expressionism,1904,Rose Period,1.8680,5.9811,19.3196,699.2809
Reclining Nude (Fernande),Post-Impressionism,1906,Rose Period,1.9256,7.5215,911.4650,1049.7172
Right profile of clown,Symbolism,1905,Rose Period,1.8316,7.6426,233.0344,406.7765
Salome,Symbolism,1905,Rose Period,1.9012,6.7637,90.2053,836.4436
Seated fat clown,Art Nouveau (Modern),1905,Rose Period,1.8289,7.3937,125.4376,613.4360
Seated female nude_1,Post-Impressionism,1905,Rose Period,1.8174,7.2882,365.4642,492.9847
Seated harlequin,Post-Impressionism,1905,Rose Period,1.4578,6.5815,527.4619,296.1887
Seated monkey,Post-Impressionism,1905,Rose Period,1.8008,7.3447,348.4953,464.5835
Self-Portrait_6,Expressionism,1906,Rose Period,1.8813,7.8445,890.7352,1269.4515
Self-Portrait_7,Expressionism,1906,Rose Period,1.9352,7.2117,266.5622,548.7433
Sleeping nude,Post-Impressionism,1904,Rose Period,1.9446,7.6337,709.6797,1086.6736
Sleeping woman (Meditation),Post-Impressionism,1904,Rose Period,1.8408,7.6911,760.8498,773.1604
Spaniard,Expressionism,1906,Rose Period,1.8388,7.6997,210.3107,593.2643
Standing female nude,Expressionism,1906,Rose Period,1.9161,7.5152,1454.2106,888.8693
Still life with Table,Post-Impressionism,1906,Rose Period,1.8833,6.9290,214.9530,539.2071
Still life with vases,Post-Impressionism,1906,Rose Period,1.7698,7.1611,366.6225,337.1402
Study to Girls from Avignon,Cubism,1906,Rose Period,1.9358,6.7261,47.9990,354.9396
Teenagers,Expressionism,1906,Rose Period,1.8616,7.5742,576.4388,796.1033
Teenagers_1,Expressionism,1906,Rose Period,1.9187,6.8021,324.3901,486.1289
The bread carrier,Expressionism,1905,Rose Period,1.8458,7.1939,51.9457,660.2736
The Catalan Sculptor Manolo (Manuel Hugué),Symbolism,1904,Rose Period,1.8971,7.7839,1026.8179,863.2979
The fool,Expressionism,1904,Rose Period,1.7907,7.3640,161.2369,386.5232
The fool_1,Symbolism,1904,Rose Period,1.9457,5.9632,54.6573,741.6036
The Harem,Expressionism,1906,Rose Period,1.9205,7.5191,1602.2387,1272.3670
The Mackerel,Naïve Art (Primitivism),1903,Rose Period,1.8700,6.6668,72.6920,657.0586
The three dutchwoman,Post-Impressionism,1905,Rose Period,1.8072,7.7732,540.0121,1005.8943
Three nudes,Expressionism,1906,Rose Period,1.8916,7.6556,1276.0121,762.9458
Toilette,Expressionism,1906,Rose Period,1.5735,6.8334,112.3734,273.4948
Toilette_1,Post-Impressionism,1906,Rose Period,1.8758,7.4347,576.4735,1253.3804
Toilette_2,Expressionism,1906,Rose Period,1.8793,6.4036,147.6906,559.7422
Two acrobats with a dog,Expressionism,1905,Rose Period,1.9261,7.6173,938.4040,1126.8190
Two brothers,Expressionism,1906,Rose Period,1.4298,6.6266,274.3611,337.7566
Two figures,Expressionism,1904,Rose Period,1.6383,7.1710,815.7906,660.0698
Two friends_1,Post-Impressionism,1904,Rose Period,1.9357,7.3657,226.7716,855.7100
