Name of the painting,Style,Year,Period,Fractal dimension,Entropy,Birkhoff measure,Euclidean distance
Scene in a cabaret,Symbolism,1902,Blue Period,1.8594,7.7287,212.6402,493.0606
Seated female nude,Expressionism,1903,Blue Period,1.8430,7.3752,159.1880,583.2291
Seated woman on a striped floor,Post-Impressionism,1903,Blue Period,1.7080,7.2850,109.1501,242.0445
Seated woman,Post-Impressionism,1902,Blue Period,1.8941,6.8455,50.2659,596.0548
Sebastia Junyer-Vidal as matador,Naïve Art (Primitivism),1903,Blue Period,1.8896,5.9696,34.9370,572.9312
Sebastia Junyer-Vidal as rhapsode,Naïve Art (Primitivism),1903,Blue Period,1.9426,6.9666,242.1041,563.3993
Self-Portrait_2,Expressionism,1901,Blue Period,1.4053,6.6333,370.0972,487.0673
Seller of gul,Expressionism,1902,Blue Period,1.7305,7.3956,605.6829,680.1806
Soler family,Expressionism,1903,Blue Period,1.6279,7.4682,133.1903,367.6672
Standing young nude,Symbolism,1904,Blue Period,1.7153,6.6373,321.3382,363.9449
Still life (The dessert),Post-Impressionism,1901,Blue Period,1.8130,7.8299,567.1380,748.7049
Study to Two sisters,Expressionism,1902,Blue Period,1.8944,3.8174,38.8885,1279.5997
Summer landscape,Japonism,1902,Blue Period,1.8978,7.0238,510.4118,431.9582
The Absinthe Drinker (Portrait of Angel Fernandez de Soto),Expressionism,1903,Blue Period,1.6382,6.5272,111.8604,299.0139
The Absinthe Drinker,Expressionism,1901,Blue Period,1.9434,7.9682,1289.3460,986.8737
The absinthe drinker_1,Expressionism,1901,Blue Period,1.6449,7.0417,461.7020,561.3089
The death of Casagemas,Post-Impressionism,1901,Blue Period,1.7539,7.5282,349.0671,379.1050
The death of Casagemas_1,Post-Impressionism,1901,Blue Period,1.8432,7.8477,661.0139,496.4524
The Embrace,Post-Impressionism,1903,Blue Period,1.8651,7.9148,1602.5289,1046.7194
The family of blind man,Expressionism,1903,Blue Period,1.9281,7.4729,216.5744,561.2361
The Fortune,Post-Impressionism,1901,Blue Period,1.4978,6.9388,479.3062,271.4714
The Frugal Repast,Expressionism,1904,Blue Period,1.7381,7.4986,339.6163,409.4196
The Greedy,Expressionism,1901,Blue Period,1.8090,7.6477,583.1485,794.7829
The ironer,Expressionism,1904,Blue Period,1.8666,7.8756,1202.4806,994.6142
The mother leading two children,Post-Impressionism,1901,Blue Period,1.8270,7.8897,395.9685,1089.4367
The old blind guitarist,Expressionism,1903,Blue Period,1.6231,6.9440,223.1607,1450.1729
The roofs of Barcelona in the moonlight,Symbolism,1903,Blue Period,1.7987,7.1712,253.4777,412.6595
The roofs of Barcelona,Expressionism,1903,Blue Period,1.6744,7.4926,248.9411,385.9987
The room of the ironer,Expressionism,1904,Blue Period,1.2426,6.0057,177.5355,146.5461
The soup,Expressionism,1903,Blue Period,1.7865,7.4615,810.2675,692.1818
The suicide (Casagemas),Post-Impressionism,1901,Blue Period,1.8627,7.5704,216.6409,414.9111
The Tragedy,Symbolism,1903,Blue Period,1.8585,7.7170,753.4029,1113.9496
The Visit  (The two sisters),Expressionism,1902,Blue Period,1.6702,7.2362,339.0432,341.5521
The woman with the edge,Expressionism,1902,Blue Period,1.7608,7.5030,112.4507,174.0056
Two acrobats (Harlequin and his companion),Expressionism,1901,Blue Period,1.8602,7.8907,1168.9665,734.3715
Two friends,Expressionism,1904,Blue Period,1.6691,7.3896,232.3842,324.9382
Two women sitting at a bar,Symbolism,1902,Blue Period,1.7147,7.2325,994.6886,572.2206
Woman in a shawl,Expressionism,1902,Blue Period,1.4681,7.1208,372.4438,323.5397
Woman in blue,Expressionism,1902,Blue Period,1.5462,7.0179,450.4151,337.3900
Woman leaning ahead,Symbolism,1904,Blue Period,1.8364,7.6370,162.9804,667.0355
Woman leaving the bath,Post-Impressionism,1901,Blue Period,1.7529,7.3185,138.8059,373.9571
Woman with a Fan,Expressionism,1905,Blue Period,1.8536,7.4030,1094.0099,899.9573
Woman with chignon,Expressionism,1901,Blue Period,1.6215,7.2525,62.6837,275.6518
Woman with cigarette,Post-Impressionism,1903,Blue Period,1.7222,7.6392,248.3437,387.3932
Woman with green stockings,Post-Impressionism,1902,Blue Period,1.9054,6.7414,69.2203,470.4121
Woman with her ​​hair in a small bun,Expressionism,1904,Blue Period,1.8496,7.8835,593.1273,737.6836
Woman with raven,Symbolism,1904,Blue Period,1.4784,6.8142,447.2859,264.3265
Woman with raven_1,Symbolism,1904,Blue Period,1.6637,7.1992,384.5752,386.1066
A glass of absinthe,Cubism,1914,Cubist Period,1.5884,7.2609,121.1391,341.0113
A glass,Analytical Cubism,1911,Cubist Period,1.8467,7.2954,176.8333,626.7218
Apple,Realism,1914,Cubist Period,1.7714,7.6125,39.1345,315.8553
Artist's studio,Cubism,1916,Cubist Period,1.9553,6.1058,83.8569,733.3051
Au bon marche,Synthetic Cubism,1913,Cubist Period,1.7296,7.7270,119.9434,368.0522
Barselona harlequin,Cubism,1917,Cubist Period,1.7877,7.5347,174.6659,526.2487
Bathers Drying Themselves,Analytical Cubism,1909,Cubist Period,1.6011,7.2279,306.0124,272.8367
Bathers,Neoclassicism,1918,Cubist Period,1.8501,7.6672,177.5372,600.4963
"Bottle of bass, glass and package of tobacco",Synthetic Cubism,1914,Cubist Period,1.7401,7.4135,46.9297,380.0738
Bottle of black rum (Vive la France),Synthetic Cubism,1913,Cubist Period,1.5276,6.9974,100.6310,122.4739
"Bottle of Vieux Marc, Glass and Newspaper",Synthetic Cubism,1913,Cubist Period,1.8444,7.4343,115.9902,650.6626
"Bottle of Vieux Marc, Glass, Guitar and Newspaper",Synthetic Cubism,1913,Cubist Period,1.8268,7.6630,140.5601,584.6998
"Bottle, glass, violin",Synthetic Cubism,1912,Cubist Period,1.8601,6.7883,85.7958,715.0383
Catalan Woman,Naïve Art (Primitivism),1911,Cubist Period,1.9323,5.4248,44.6481,718.3043
Clarinet and Violin,Synthetic Cubism,1913,Cubist Period,1.7867,7.6483,77.0355,266.6316
"Clarinet, bottle of bass, newspaper, ace of clubs",Synthetic Cubism,1913,Cubist Period,1.8375,7.5886,153.2737,570.2672
Clarinet,Analytical Cubism,1911,Cubist Period,1.8182,7.3672,208.8350,554.0333
Clarinetist,Analytical Cubism,1911,Cubist Period,1.7162,7.5808,241.8961,377.1114
Costume design for ballet Tricorne,Art Nouveau (Modern),1917,Cubist Period,1.9123,7.2566,64.6828,854.6391
Costume design for ballet Tricorne_1,Art Nouveau (Modern),1917,Cubist Period,1.8739,7.4504,47.8152,750.0162
Costume design for ballet Tricorne_2,Art Nouveau (Modern),1917,Cubist Period,1.9083,7.2109,143.6996,766.5860
Costume design for ballet Tricorne_3,Art Nouveau (Modern),1917,Cubist Period,1.9194,7.3471,269.3873,825.6092
Costume design for ballet Tricorne_4,Art Nouveau (Modern),1917,Cubist Period,1.9122,6.9090,35.4394,868.4551
Costume design for ballet Tricorne_5,Art Nouveau (Modern),1917,Cubist Period,1.9003,7.5430,104.3581,805.0815
Couple of dancers,Synthetic Cubism,1915,Cubist Period,1.7890,7.4986,168.6327,462.7366
Cubist Person,Synthetic Cubism,1917,Cubist Period,1.7186,7.2819,146.6238,425.4700
Curtain for the ballet Parade,Post-Impressionism,1917,Cubist Period,1.7133,7.5002,135.0400,461.2032
Dancer,Expressionism,1919,Cubist Period,1.8795,5.1413,16.5175,344.0551
El Paseo de Colon,Cubism,1917,Cubist Period,1.8798,7.7292,273.1215,507.5708
Frauenkopf,Cubism,1908,Cubist Period,1.7784,7.2875,31.1321,182.0342
Fruit Bowl with Fruit,Realism,1918,Cubist Period,1.6100,7.2889,80.8319,295.2450
Fruit dish,Cubism,1912,Cubist Period,1.7907,7.8542,210.8609,471.9421
