Period,Name of the painting,Fractal dimension,Entropy,Birkhoff measure,Euclidean distance
Cubist Period,The happy family,1.8197,7.7980,349.2832,514.9314
Cubist Period,The Italian woman with a flower,1.9066,4.8690,25.5925,2251.6660
Cubist Period,The Mandolinist,1.7524,7.6427,279.8636,394.8859
Cubist Period,The Piano Accordionist,1.8076,7.6445,150.8817,519.0661
Cubist Period,The pigeon pea,1.8038,7.8098,310.2014,488.8702
Cubist Period,"The Reservoir, Horta de Ebro",1.9003,7.0009,349.3527,1145.7794
Cubist Period,The shell Saint Jacques (Our future is in the air),1.7803,6.1366,80.1189,608.1396
Cubist Period,The student,1.6928,7.4139,232.2586,385.6958
Cubist Period,The table,1.8617,7.5053,148.6357,311.4555
Cubist Period,The Tavern,1.7791,7.2736,97.0273,396.0911
Cubist Period,Three dancers,1.9321,7.5278,292.2893,577.0163
Cubist Period,Tricorne (study),1.9762,6.4384,101.7481,855.3762
Cubist Period,Untitled_1,1.8757,7.6575,179.3448,484.8875
Cubist Period,"Violin, glass, pipe and inkwell",1.8144,7.2130,101.8550,625.9528
Cubist Period,Violin,1.8786,7.1664,106.5558,495.6906
Cubist Period,Violin_1,1.8569,6.8888,118.0584,729.8376
Cubist Period,Violin_2,1.8010,7.4402,215.1905,492.6395
Cubist Period,Woman and pears (Fernande),1.6179,7.4602,176.3055,360.5115
Cubist Period,Woman sitting in an armchair,1.6234,7.1278,227.0046,401.7238
Cubist Period,Woman with a Mandolin,1.8130,7.4060,363.7966,491.3874
Cubist Period,Woman with a shirt sitting in a chair,1.5150,7.2049,266.2005,267.8680
Cubist Period,Woman with guitar and piano,1.6575,7.5183,206.7687,335.2290
Cubist Period,Woman with guitar,1.6974,7.5254,260.2997,360.6161
Cubist Period,Woman with guitar_1,1.7852,7.5811,116.4372,441.7195
Cubist Period,Woman with spanish dress,1.8479,7.2916,141.7567,879.2677
Early Years,A blue room (A tub),1.8480,7.8319,630.7229,831.2868
Early Years,A spanish couple in front of inn,1.7408,7.3799,723.5743,585.2970
Early Years,Academical study,1.9008,7.6989,1470.4727,811.5139
Early Years,Advertisement for tavern Four cats,1.8967,7.3717,297.4299,1130.2577
Early Years,Antes,1.8776,7.8358,554.5159,709.6936
Early Years,Artist's mother,1.6236,7.3846,280.7633,327.1443
Early Years,Bullfight scene,1.7645,7.6403,294.8578,481.6166
Early Years,Bullfighters and bull waiting for the next move,1.8675,7.0774,50.5632,642.3987
Early Years,Bust of young man,1.3630,6.2252,205.3255,199.2078
Early Years,Couple walking,1.8325,7.3562,97.4332,301.0994
Early Years,Courtesan with necklace of gems,1.7978,7.5641,167.9228,459.6604
Early Years,Embrace,1.7998,7.5995,827.3136,782.7835
Early Years,Fairground,1.5551,7.3397,354.2058,375.1670
Early Years,Female nude from back,1.4426,6.9853,228.9536,237.5481
Early Years,First Communion,1.6413,7.4871,76.6628,384.0651
Early Years,Flower seller,1.8309,7.8897,252.7139,401.0525
Early Years,Gypsy in front of Musca,1.7134,7.5534,178.4177,418.6839
Early Years,Head of a child,1.6481,6.9930,230.0579,314.7679
